run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,HLT_PFMET120_PFMHT120_IDTight,HLT_PFMETNoMu120_PFMHTNoMu_IDTight,HLT_PFHT800,HLT_PFHT900,HLT_IsoMu20,HLT_IsoMu24,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status
280330,41,78776370,41.7642,-2.40512,58.6663,-1.77032,0.224628,-16.9021,5,3,2,261.17,285.281,125.909,100.22,1,0,1,24.5679,1,0,0,0.653012,20,1420,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,78987191,16.9149,0.920248,39.4102,-1.95213,1,-22.4954,5,1,0,39.4102,89.5292,39.4102,17.18,0,0,0,0,0,0,0,0.529703,22,1604,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,78990643,50.057,0.683411,18.585,-0.219119,0.0128105,31.472,10,5,4,1450.77,1509.25,615.648,460.527,0,0,0,0,1,0,0,0.557028,16,1475,2,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0
280330,41,79293045,56.2343,0.91119,0,0,0,56.2343,2,0,0,0,23.2943,12.8566,10.4377,0,0,0,0,0,0,0,0.542479,22,1541,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,0
280330,41,79597752,28.1565,-1.51739,40.5316,-1.25035,0.0917203,-12.375,10,3,3,441.904,534.105,227.471,115.233,0,0,0,0,3,0,0,0.745198,21,1681,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79175543,48.8385,-0.405677,16.2219,-2.62011,0.0271395,32.6166,14,7,7,597.722,741.232,109.928,109.412,0,0,0,0,2,0,0,0.789798,30,2254,6,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,80212914,87.5814,0.28328,115.019,0.88123,0.194843,-27.4371,15,7,4,590.313,743.071,171.875,145.449,3,1,4,87.183,5,3,1,0.996435,29,2192,7,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,78761394,17.181,0.0895179,0,0,0,17.181,2,0,0,0,49.228,25.6538,23.5743,0,0,0,0,0,0,0,0.349827,23,1534,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,80067767,32.7517,0.427634,135.727,1.31777,0.417338,-102.975,9,3,3,325.221,428.826,122.868,107.476,0,0,0,0,3,0,0,0.79434,40,2272,7,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79579318,19.9882,2.99167,74.6808,-1.506,0.090802,-54.6926,9,4,4,822.458,898.188,349.708,320.756,1,1,2,102.28,3,2,1,0.991206,17,1525,2,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79433592,42.9944,1.59207,60.7057,1.05103,0.142004,-17.7113,11,3,3,427.492,542.256,235.013,140.458,0,1,1,32.6054,1,0,0,0.556585,26,1778,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,78965302,57.5751,-1.55373,48.6936,1.18829,0.222079,8.88154,13,4,2,219.263,350.446,95.5292,55.9929,0,0,0,0,2,0,0,0.582686,21,1947,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79233717,41.7779,2.70294,89.2237,2.64231,0.165387,-47.4457,11,6,6,539.483,597.876,106.627,104.017,0,1,1,26.4575,0,0,0,0.532537,30,2137,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,80162807,41.2343,-2.39734,43.4805,-2.79725,0.0900465,-2.24617,8,6,4,482.867,516.146,154.174,96.0496,0,0,0,0,3,2,2,0.992751,26,1940,5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,78750450,45.8751,0.30277,75.9366,1.03404,0.0776507,-30.0616,13,6,4,977.926,1082.4,419.277,269.832,0,1,1,158.771,1,0,0,0.574375,23,1679,2,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0
280330,41,78676145,14.8698,0.614296,13.2505,-2.40399,0.026572,1.61933,9,7,4,498.663,527.083,154.917,98.5256,0,1,1,14.053,1,0,0,0.727459,20,1665,4,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79916274,24.5639,-0.7546,258.11,2.46221,0.792494,-233.546,8,3,3,325.693,411.359,219.722,54.7161,1,0,1,12.0389,1,0,0,0.825248,30,1864,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,80142646,80.6769,0.203528,54.07,-1.345,0.0690912,26.607,8,4,3,782.589,845.067,353.479,328.376,0,1,1,206.252,1,1,0,0.902624,18,1791,5,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79749238,29.1755,2.88438,17.1549,-0.614237,0.022932,12.0206,13,6,6,748.078,847.242,182.096,169.819,0,0,0,0,3,0,0,0.766707,26,1991,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,78661751,35.0483,0.511858,264.508,-1.98843,0.541882,-229.46,9,4,3,488.128,548.505,291.626,103.918,0,0,0,0,4,1,0,0.924558,26,2118,4,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,80106358,18.3104,2.30772,27.9912,1.80301,0.0263138,-9.68081,5,4,2,1063.75,1084.75,505.028,475.239,0,0,0,0,0,0,0,0.417714,18,1379,3,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0
280330,41,78821298,21.5296,-3.01991,42.3082,3.13063,0.0453377,-20.7786,9,5,5,933.18,993.76,427.465,308.675,0,1,1,166.496,1,0,0,0.643473,30,1774,4,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0
280330,41,78471669,6.42559,2.99484,14.8405,-1.74594,0.0178138,-8.41486,14,4,3,833.089,1006.53,393.251,344.463,0,0,0,0,3,0,0,0.740877,17,1862,3,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79912248,26.913,-2.87089,62.1237,2.22479,0.0740289,-35.2107,6,4,4,839.181,862.365,341.778,269.58,0,0,0,0,2,0,0,0.559922,22,1700,2,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79191091,54.8082,0.241135,36.9969,0.0413555,0.20277,17.8114,5,2,2,182.457,225.717,109.497,72.9602,0,0,0,0,0,0,0,0.319823,18,1324,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79149046,41.9734,0.47356,68.2302,1.09111,0.080246,-26.2568,7,4,3,850.263,895.191,374.059,257.047,0,0,0,0,0,0,0,0.541668,24,2112,5,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0
280330,41,79215282,49.1676,1.34542,20.3956,-2.71294,0.0297904,28.772,10,5,3,684.636,755.187,325.869,210.671,0,2,2,269.392,0,0,0,0.527257,27,2025,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79929521,19.9699,-2.80625,0,0,0,19.9699,5,0,0,0,78.1432,19.275,17.4417,0,0,0,0,0,0,0,0.528306,23,1832,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79375988,15.4639,1.73154,36.3537,1.94462,0.161906,-20.8898,7,2,2,224.535,291.531,130.267,94.2685,0,0,0,0,0,0,0,0.528581,23,1647,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,78611633,42.172,0.716995,183.637,1.04055,0.307948,-141.465,9,3,3,596.326,682.752,364.183,166.962,3,0,3,48.3217,3,2,1,0.987901,20,1694,6,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,78782708,45.4285,2.55235,26.0057,-2.45548,0.0231416,19.4228,6,3,3,1123.77,1167.24,560.166,510.504,1,0,1,33.8988,0,0,0,0.536738,15,1321,2,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0
280330,41,79297076,44.5248,3.00103,22.0677,3.08852,0.0290513,22.4571,8,4,3,759.612,822.054,361.75,236.361,0,1,1,16.2586,1,0,0,0.69083,19,1376,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
