run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status
280242,81,141668137,44.0445,2.10084,190.188,-2.08904,0.747894,-146.143,7,3,3,254.298,341.538,121.789,73.0417,0,0,0,0,1,0,0,0.559326,18,1405,5,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
280242,81,141966506,29.6946,2.85892,220.618,1.68328,0.647404,-190.923,6,4,4,340.773,371.869,154.946,75.7867,0,1,1,16.0331,1,0,0,0.606532,14,1324,5,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
280242,81,142065007,49.6704,2.77754,146.456,2.62075,0.269293,-96.7858,7,5,5,543.854,571.402,196.503,145.656,0,1,1,20.5064,1,0,0,0.611841,21,1521,2,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
280242,81,142475115,26.2676,-2.95971,183.137,-0.167564,0.64183,-156.87,12,4,1,285.337,411.43,152.194,48.5262,0,0,0,0,1,1,1,0.994375,29,1697,3,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
280242,81,141811566,44.0748,2.25207,35.2229,1.65365,0.092033,8.85185,10,4,4,382.72,473.377,166.957,103.528,0,0,0,0,1,1,0,0.861303,19,1619,3,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
280242,81,141468843,24.4933,2.34955,185.722,-0.839284,0.997856,-161.229,6,2,2,186.121,241.244,135.971,50.1498,0,0,0,0,2,0,0,0.557443,29,2088,2,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
280242,81,142244138,42.5215,2.50369,40.4359,0.954597,0.107323,2.08565,7,3,3,376.768,435.509,167.883,136.105,1,0,1,10.9534,2,1,0,0.925493,20,1483,2,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0
280242,81,141345581,40.4441,2.87468,55.8191,2.87566,0.125303,-15.375,12,2,2,445.474,588.182,249.556,195.917,0,0,0,0,2,0,0,0.76686,29,1989,3,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
280242,81,142347240,88.3818,-2.88675,92.23,-2.7615,0.244832,-3.84817,8,4,3,376.708,430.619,223.56,65.4251,0,1,1,10.8124,4,1,1,0.998294,31,2051,8,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
280242,81,142535598,121.76,1.96287,133.844,2.05588,0.22797,-12.0837,8,4,4,587.11,638.274,272.366,171.046,0,0,0,0,1,0,0,0.743026,32,2181,5,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
280242,81,141496940,77.1589,-2.13592,193.214,-1.7392,0.856444,-116.055,6,2,2,225.6,279.303,128.746,96.8542,0,0,0,0,2,1,0,0.860001,25,1711,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
280242,81,141286824,25.021,-3.03373,43.9853,-1.08167,0.15851,-18.9643,11,2,2,277.493,411.129,160.732,116.761,0,1,1,32.8714,3,0,0,0.795391,38,2289,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
280242,81,142036204,50.8128,2.6957,47.689,-2.07466,0.135816,3.12385,9,4,2,351.13,430.368,178.137,101.222,0,0,0,0,2,0,0,0.753247,35,2486,2,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
280242,81,141497514,62.7274,1.30806,12.6457,-1.07005,0.0300106,50.0818,4,4,3,421.373,421.373,182.362,124.319,1,0,1,19.3889,1,0,0,0.628488,23,1764,3,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
280242,81,142673837,118.169,-2.91305,103.392,-3.11626,0.222824,14.7766,5,2,2,464.008,507.835,283.13,180.878,0,0,0,0,2,0,0,0.557354,28,2202,2,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
280242,81,142745135,29.671,-0.553898,201.54,-1.55089,0.475032,-171.869,9,4,4,424.267,497.841,186.884,97.1453,0,2,2,35.9905,4,1,0,0.876926,27,1990,3,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
280242,81,141331048,99.9929,-1.56184,78.3637,-1.63123,0.149303,21.6292,9,5,4,524.863,575.625,200.083,125.062,0,0,0,0,1,0,0,0.55398,25,1672,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
280242,81,141913390,115.979,1.24248,0,0,0,115.979,5,0,0,0,83.7125,24.9791,23.3338,0,0,0,0,1,0,0,0.544189,31,2027,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0
280242,81,141386345,50.9752,-0.197629,204.136,2.51425,0.950397,-153.16,4,2,2,214.79,266.767,117.04,97.7498,1,0,1,13.3138,0,0,0,0.541486,27,1806,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
280242,81,142561386,94.4602,-2.89692,115.074,-2.62318,0.215617,-20.6134,13,6,5,533.695,656.096,159.014,149.714,2,0,2,188.133,3,1,0,0.919757,25,2013,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
280242,81,142919082,34.3698,-1.36009,184.263,1.14098,0.992655,-149.893,4,2,1,185.626,211.338,146.254,39.372,1,0,1,15.0679,1,0,0,0.559197,17,1451,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
280242,81,142720941,21.4415,-1.88418,79.2674,-1.45666,0.210747,-57.826,9,3,2,376.125,463.738,218.273,116.954,0,0,0,0,2,0,0,0.555239,16,1850,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
280242,81,142657582,64.3712,-0.802826,96.5827,-1.21905,0.335986,-32.2115,12,3,3,287.461,416.925,107.712,92.3557,0,0,0,0,1,1,0,0.857019,30,2108,4,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
