run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status
279588,959,1671288765,66.6725,0.375979,54.3821,0.626103,1,12.2904,1,1,1,54.3821,54.3821,54.3821,0,1,0,1,42.3778,0,0,0,0.148008,11,1099,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0
279588,959,1671499006,33.0358,0.15207,45.3976,-0.0232243,1,-12.3618,1,1,0,45.3976,45.3976,45.3976,0,1,0,1,40.8026,0,0,0,-10,14,1140,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0
279588,959,1671176441,19.168,-0.0664752,0,0,0,19.168,3,0,0,0,38.9276,13.7096,12.777,0,0,0,0,0,0,0,0.391843,15,1262,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0
279588,959,1671499003,12.0333,2.94458,32.9195,-0.268264,1,-20.8863,4,1,0,32.9195,94.2706,32.9195,25.2221,1,0,1,20.6822,1,0,0,0.68903,17,1226,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
279588,959,1671002494,26.3913,-1.88772,47.044,-1.55227,1,-20.6527,6,1,0,47.044,108.967,47.044,14.3365,1,0,1,33.8046,2,0,0,0.55222,19,1255,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0
279588,959,1670692025,44.9387,-0.790125,46.3716,-0.477867,1,-1.43285,6,1,0,46.3716,125.668,46.3716,19.2526,1,0,1,36.1077,0,0,0,0.530323,17,1582,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0
279588,959,1672049663,23.1768,2.5254,40.063,-1.40272,1,-16.8862,4,1,0,40.063,86.4498,40.063,23.5202,1,0,1,29.0645,0,0,0,0.532674,23,1515,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0
279588,959,1672314619,32.4764,-0.796734,24.1472,1.31392,0.0851274,8.3293,3,2,2,283.659,307.931,153.894,129.764,1,0,1,67.2461,2,1,0,0.871622,19,1296,4,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0
279588,959,1671721339,83.2754,2.61856,77.0796,0.306276,1,6.19576,7,1,1,77.0796,197.043,77.0796,28.3548,1,0,1,65.122,0,0,0,0.529743,22,1642,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0
279588,959,1671135546,52.5756,2.61381,39.8906,3.10412,1,12.685,2,1,0,39.8906,49.8946,39.8906,10.0041,1,0,1,35.2244,0,0,0,0.528763,14,1225,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0
279588,959,1670958713,23.6934,-1.5193,11.5782,1.42328,0.129558,12.1152,4,2,0,89.3671,117.66,48.723,40.644,1,0,1,35.3287,1,1,0,0.895285,17,1800,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0
279588,959,1671454080,31.0853,2.71519,61.2934,-2.5617,0.307309,-30.208,6,2,2,199.452,259.998,129.954,69.4987,2,1,3,165.471,2,2,2,0.998685,19,1435,2,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
279588,959,1671987455,14.6707,0.375893,22.3034,-2.30732,0.0899796,-7.6327,6,3,2,247.872,290.074,132.725,72.5183,1,0,1,45.6568,1,1,1,0.998954,14,1227,2,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0
279588,959,1671554876,30.7459,-0.856839,86.9283,1.2281,1,-56.1825,2,1,1,86.9283,106.825,86.9283,19.8969,1,0,1,53.4132,1,0,0,0.638184,16,1364,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0
279588,959,1671951743,56.2737,-0.954036,41.3455,-0.474362,1,14.9282,6,1,0,41.3455,114.933,41.3455,19.2903,1,0,1,30.4171,1,0,0,0.749215,19,1710,2,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0
279588,959,1671281853,34.6934,-2.31795,46.1374,-1.43247,1,-11.4441,2,1,0,46.1374,56.9565,46.1374,10.8191,1,0,1,37.7155,0,0,0,0.526795,28,1784,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0
279588,959,1670920701,25.3861,-1.07856,0,0,0,25.3861,9,0,0,0,119.47,21.9106,18.5043,0,0,0,0,3,1,1,0.957533,18,1736,2,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0
279588,959,1672102076,7.33127,1.07803,0,0,0,7.33127,5,0,0,0,91.7176,29.787,28.6797,1,0,1,23.2132,0,0,0,0.527545,15,1547,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0
279588,959,1672125118,19.9933,-1.20966,31.9557,1.54838,1,-11.9623,1,1,0,31.9557,31.9557,31.9557,0,1,0,1,27.732,0,0,0,-10,25,1543,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0
279588,959,1671319291,75.8361,2.36566,59.3568,1.80135,1,16.4793,6,1,1,59.3568,124.916,59.3568,22.3959,1,1,2,31.758,0,0,0,0.16659,10,1137,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
279588,959,1671265152,15.1472,1.51023,87.8001,-1.11298,0.994393,-72.6529,4,2,1,88.2952,135.185,52.0286,36.2666,1,0,1,28.4772,0,0,0,0.542506,14,1237,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0
279588,959,1671470781,43.0337,2.1684,30.3215,-1.24944,1,12.7122,6,1,0,30.3215,108.72,30.3215,19.9481,1,0,1,22.6273,3,0,0,0.789258,20,1605,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
279588,959,1672256441,28.3355,1.275,31.0909,-2.9828,1,-2.75548,5,1,0,31.0909,92.065,31.0909,23.2274,1,0,1,26.071,1,0,0,0.697424,15,1371,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0
279588,959,1671282426,61.2843,-2.90065,33.7768,-2.59584,1,27.5075,4,1,0,33.7768,89.3689,33.7768,20.6818,1,0,1,24.3346,0,0,0,0.526628,23,1808,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0
279588,959,1671313535,103.04,0.987106,27.3562,-1.21979,0.0985373,75.684,14,2,2,277.623,501.707,140.408,137.216,2,0,2,48.0948,3,1,1,0.99349,17,1636,4,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0
279588,959,1671523193,21.1032,1.95941,50.3686,-2.49948,1,-29.2654,8,1,1,50.3686,167.964,50.3686,27.7262,3,0,3,97.2365,2,1,1,0.995971,21,1540,2,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0
279588,959,1671038204,86.9605,1.42382,47.8403,1.11887,0.517841,39.1202,5,2,1,92.3841,141.79,55.6116,36.7725,1,0,1,31.296,1,0,0,0.552225,19,1309,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0
279588,959,1672369918,41.5742,0.948437,34.6771,1.54817,0.276111,6.89715,5,2,2,125.591,165.024,72.3876,53.2033,1,0,1,39.0356,2,1,0,0.869562,15,1549,3,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0
279588,959,1671578494,33.8512,1.83658,52.8055,1.47181,0.158611,-18.9543,8,3,3,332.925,402.875,178.492,84.6895,1,1,2,106.922,2,0,0,0.619131,21,1567,3,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
279588,959,1672205183,19.5873,1.25589,46.7971,2.19319,1,-27.2099,3,1,0,46.7971,86.5201,46.7971,29.448,1,1,2,53.8783,0,0,0,0.282596,16,1096,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0
279588,959,1671024377,22.8155,-0.189022,32.1898,-0.0484058,1,-9.37431,4,1,0,32.1898,65.1657,32.1898,11.6998,1,0,1,25.7554,0,0,0,0.52589,14,1210,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0
279588,959,1672104377,18.541,1.87793,10.4062,2.40577,0.064119,8.13481,5,2,2,162.295,200.299,86.0141,76.2814,1,0,1,50.8731,0,0,0,0.538584,24,1673,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0
279588,959,1671283581,17.2889,2.49915,81.4291,0.513464,0.308326,-64.1403,5,2,2,264.101,307.852,169.39,94.7105,3,0,3,107.597,2,1,1,0.995388,16,1307,2,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0
279588,959,1670707006,64.5701,0.77766,47.2545,0.966274,1,17.3156,6,1,0,47.2545,107.262,47.2545,17.224,1,0,1,38.7158,1,0,0,0.719339,24,1633,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0
