run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status
202209,14,20657260,26.7363,-2.41118,479.91,-2.33902,0.940795,-453.174,39,3,2,510.111,868.037,404.905,72.8592,1,0,1,23.205,0,0,0,0.191924,18,1423,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
202209,14,20831924,76.8793,-0.044513,93.037,-0.00231687,0.750081,-16.1577,49,3,0,124.036,743.643,45.0075,40.6553,0,0,0,0,0,0,0,-999,24,1906,8,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
202209,14,20896956,5.74405,1.06674,55.725,-3.0704,0.191384,-49.9809,50,4,2,291.168,857.222,112.053,100.337,0,1,1,20.503,0,0,0,0.0605476,25,1704,9,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
202209,14,20966623,47.0423,1.78776,58.5502,1.44891,0.598646,-11.5079,47,2,1,97.8045,694.125,67.25,30.5545,0,0,0,0,0,0,0,0.0430727,19,1764,10,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
202209,14,20938516,41.1318,0.61805,149.679,-2.42816,0.726485,-108.547,45,2,2,206.031,646.505,126.637,79.3944,0,1,1,47.8378,0,0,0,0.134398,22,1513,5,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
202209,14,21071239,44.6194,2.52079,91.5599,2.88056,0.610886,-46.9405,51,4,0,149.881,824.498,46.8566,38.3338,0,0,0,0,0,0,0,-1,27,1983,4,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
202209,14,21124055,55.3761,-0.664687,23.242,-1.58595,0.0571537,32.134,41,4,3,406.659,840.463,167.31,104.527,0,0,0,0,1,0,0,0.400795,21,1656,9,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
202209,14,21204247,1.75257,-1.25916,0,0,0,1.75257,44,0,0,0,609.532,28.3471,27.9797,0,0,0,0,0,0,0,-999,21,1763,6,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0
202209,14,21210375,77.4637,1.35343,206.996,1.06602,0.999978,-129.533,46,2,1,207.001,611.1,164.797,42.2038,0,0,0,0,1,0,0,0.259016,14,1300,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
202209,14,21308967,12.6495,0.0659106,0,0,0,12.6495,44,0,0,0,525.809,27.6528,20.7086,0,0,0,0,0,0,0,-999,18,1616,3,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
202209,14,21428671,18.7644,-2.88259,29.9333,2.61095,0.195071,-11.1689,42,3,1,153.448,620.217,82.4148,38.3929,0,0,0,0,0,0,0,0.0646282,19,1561,6,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
202209,14,21233479,83.4007,-1.46193,187.346,-1.4326,0.397149,-103.945,53,11,2,471.726,1036.82,91.6805,58.3989,0,0,0,0,0,0,0,0.129752,27,2224,21,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0
202209,14,21437999,58.7945,-1.54033,56.8187,-1.41126,0.507177,1.97578,50,3,1,112.029,819.677,50.3404,31.647,0,1,1,23.1748,1,0,0,0.555742,29,1997,10,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
202209,14,21369111,23.9955,0.427531,0,0,0,23.9955,48,0,0,0,547.491,27.4298,25.407,0,0,0,0,0,0,0,-999,16,1584,10,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0
202209,14,21396711,33.7039,-0.0278116,10.1112,1.40338,0.163461,23.5928,46,2,0,61.857,539.169,31.2982,30.5588,0,0,0,0,0,0,0,-999,27,1589,13,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
202209,14,21496407,27.0665,-2.83963,109.883,2.62919,0.933588,-82.8169,44,2,1,117.7,556.114,82.8766,34.8234,0,0,0,0,0,0,0,0.0659479,19,1493,3,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
202209,14,21594383,29.4132,-0.609045,0,0,0,29.4132,45,0,0,0,503.396,27.0019,23.4243,0,0,0,0,0,0,0,-999,24,1576,3,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0
202209,14,21707647,8.45388,-2.41875,38.4081,2.05552,1,-29.9542,38,1,0,38.4081,373.594,38.4081,20.9111,0,0,0,0,0,0,0,-999,17,1340,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
202209,14,21396447,10.5296,2.81971,25.3956,-2.80958,0.0375316,-14.866,47,5,4,676.647,1250.64,294.9,222.191,1,1,2,222.642,0,0,0,0.124663,23,1721,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
202209,14,21727495,4.73345,2.88179,36.9334,1.90323,0.57696,-32.1999,48,2,0,64.0137,676.105,32.752,31.2617,0,0,0,0,0,0,0,-999,25,1835,12,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0
202209,14,21811679,104.105,-1.39947,115.487,-1.3244,0.382432,-11.3822,51,3,3,301.98,878.69,156.333,92.6532,0,1,1,20.0969,1,0,0,0.339096,21,1792,14,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
202209,14,21945919,123.705,0.0409246,140.484,-0.0459148,1,-16.7791,47,1,1,140.484,676.487,140.484,29.8914,0,0,0,0,0,0,0,-1,18,1659,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
202209,14,22021183,23.9538,-2.32654,0,0,0,23.9538,49,0,0,0,606.898,29.1953,28.7977,0,0,0,0,0,0,0,-999,23,1728,6,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
